id;name;type;location;description;creator;created_at;updater;updated_at;user_id
1;면밀히 meh though;CONDO;near;충실한 boohoo failing;20172;2024-01-28T03:18:55;15186;2024-01-28T00:21:24;1
2;싼 행복한;HOTEL;mill;어리석은 become;31929;2024-01-27T22:40:50;16788;2024-01-27T16:36:00;2
3;above;POOL_VILLA;합금 detoxify below;from 사려 깊은;14980;2024-01-27T15:23:33;5972;2024-01-27T14:45:13;2
4;굴곡진;RESIDENCES;합금 consequently;that;10275;2024-01-27T21:57:32;14930;2024-01-27T13:41:50;1
5;비행장 from;HOTEL;excepting share ah;대담하게 yet subedit;4962;2024-01-28T07:45:20;24922;2024-01-27T14:53:46;1
6;다소 fly;POOL_VILLA;beneath afore 명랑하게;거꾸로;20713;2024-01-28T00:02:44;19285;2024-01-28T10:50:58;1
7;inasmuch phooey 대행사;RESORT;변경 형용사 supposing;oof;7732;2024-01-28T06:34:35;14203;2024-01-28T01:42:36;1
8;eek supposing 고도;RESORT;beneath;espouse;31360;2024-01-28T12:15:19;21589;2024-01-27T19:56:30;1
9;nuzzle;POOL_VILLA;대행사 분명한;ouch 거꾸로 without;22474;2024-01-28T10:08:03;20859;2024-01-28T04:55:37;2
10;출현 대체로;RESORT;anenst what 흥미롭게;흥미롭게 instead;14770;2024-01-27T21:57:45;23553;2024-01-28T01:55:45;2
