id;check_in_date;check_out_date;creator;created_at;updater;updated_at
1;2024-01-27T16:44:17;2024-01-28T07:32:55;9364;2024-01-28T04:39:02;5532;2024-01-27T18:50:44
2;2024-01-27T20:24:20;2024-01-27T17:17:26;24013;2024-01-27T17:49:11;3571;2024-01-27T17:05:43
3;2024-01-27T15:16:15;2024-01-28T03:06:02;4343;2024-01-28T07:26:28;13468;2024-01-27T16:52:13
4;2024-01-28T01:52:56;2024-01-27T16:48:50;24447;2024-01-27T19:29:44;26729;2024-01-27T20:17:07
5;2024-01-28T03:49:00;2024-01-27T18:00:37;11312;2024-01-28T02:19:49;27842;2024-01-27T19:11:02
6;2024-01-27T16:24:22;2024-01-27T23:10:32;21401;2024-01-28T03:49:48;7377;2024-01-28T08:07:07
7;2024-01-28T09:34:01;2024-01-27T19:52:18;8954;2024-01-27T16:24:32;7092;2024-01-27T22:30:36
8;2024-01-28T10:10:33;2024-01-27T18:53:03;31114;2024-01-28T12:57:28;3349;2024-01-28T09:37:43
9;2024-01-27T18:44:40;2024-01-28T09:35:27;31282;2024-01-27T23:35:34;17017;2024-01-27T15:11:39
10;2024-01-28T07:55:10;2024-01-27T19:04:30;25330;2024-01-28T01:10:12;19326;2024-01-27T16:01:50
