id;no;price;promo_price;creator;created_at;updater;updated_at
1;결정적인 gee;11638;5133;8563;2024-01-28T06:27:18;31799;2024-01-27T22:10:13
2;whenever given;5536;23714;1662;2024-01-28T03:34:25;3327;2024-01-27T18:45:04
3;노하여;8915;5888;6625;2024-01-28T10:52:53;18826;2024-01-27T18:47:33
4;but 어색하게;4258;23094;17990;2024-01-28T11:51:29;6415;2024-01-28T09:14:06
5;how rejoice meanwhile;25310;16502;25711;2024-01-27T22:35:36;1449;2024-01-28T03:04:37
6;that;27200;5661;21467;2024-01-28T10:35:22;18808;2024-01-28T07:47:20
7;supposing;25137;26353;25273;2024-01-27T14:46:30;27261;2024-01-28T08:40:59
8;improvise;26606;10822;5506;2024-01-27T22:46:36;32466;2024-01-27T17:59:18
9;yum boohoo;32485;2943;26900;2024-01-28T02:04:26;7176;2024-01-27T23:00:38
10;어지러운;14250;2727;19208;2024-01-28T06:10:03;7351;2024-01-27T14:12:38
