id;name;description;creator;created_at;updater;updated_at
1;공항 redistribute;yuck pfft 바쁘게;3285;2024-01-27T15:58:05;23108;2024-01-27T16:50:41
2;오후 hm;애프터셰이브;11355;2024-01-28T08:50:17;14852;2024-01-27T22:48:01
3;여파;finally despite;31325;2024-01-27T15:05:05;16773;2024-01-27T21:57:42
4;고뇌;비참한 off;31853;2024-01-27T16:30:52;32682;2024-01-27T17:21:23
5;zowie;er 별명 astride;11564;2024-01-27T21:28:52;7664;2024-01-27T20:26:33
6;거의;demand;21026;2024-01-28T10:29:39;6852;2024-01-28T07:07:47
7;supposing aha 나쁜;how;31546;2024-01-27T20:15:03;30813;2024-01-27T17:52:23
8;despite;거만하게 boo;12553;2024-01-28T02:35:54;23364;2024-01-27T23:13:15
9;apropos though;consecrate;28721;2024-01-28T02:32:31;31722;2024-01-28T01:10:18
10;including;exile boohoo improvise;9562;2024-01-28T00:29:28;32222;2024-01-28T04:58:35
