id;price;sale_price;creator;created_at;updater;updated_at
1;3119;12163;26267;2024-01-27T17:06:27;17322;2024-01-28T00:46:53
2;10475;23440;28413;2024-01-28T00:15:48;1846;2024-01-27T22:28:25
3;20963;6829;26278;2024-01-28T12:17:48;18918;2024-01-28T10:44:31
4;24567;3576;5297;2024-01-27T23:32:40;7865;2024-01-27T15:03:50
5;22400;16290;13043;2024-01-27T21:43:39;28019;2024-01-27T23:54:04
6;10014;5952;1631;2024-01-27T14:08:37;26731;2024-01-28T00:47:38
7;7261;18360;7886;2024-01-27T14:27:09;29404;2024-01-27T15:25:10
8;23886;82;25757;2024-01-28T09:23:00;23379;2024-01-27T15:29:43
9;7774;8086;23445;2024-01-27T23:22:46;10251;2024-01-28T11:40:01
10;6396;24298;18743;2024-01-27T18:28:24;1134;2024-01-28T08:28:38
